338995,01/21/2020,262,,0,,,,,,,,Worldwide,,
338996,01/22/2020,313,51,0,0,,,,,,,Worldwide,,
338997,01/23/2020,578,265,0,0,,,,,,,Worldwide,,
338998,01/24/2020,841,263,0,0,,,,,,,Worldwide,,
338999,01/25/2020,1320,479,0,0,,,,,,,Worldwide,,
339000,01/26/2020,2014,694,0,0,,,,,,,Worldwide,,
339001,01/27/2020,2798,784,0,0,,,,,,,Worldwide,,
339002,01/28/2020,4593,1795,0,0,,,,,,,Worldwide,,
339003,01/29/2020,6065,1472,0,0,,,,,,,Worldwide,,
339004,01/30/2020,7818,1753,0,0,,,,,,,Worldwide,,
339005,01/31/2020,9826,2008,0,0,,,,,,,Worldwide,,
339006,02/01/2020,11953,2127,0,0,,,,,,,Worldwide,,
339007,02/02/2020,14557,2604,0,0,,,,,,,Worldwide,,
339008,02/03/2020,17386,2829,362,362,,,,,,,Worldwide,,
339009,02/04/2020,20625,3239,426,64,,,,,,,Worldwide,,
339010,02/05/2020,24549,3924,492,66,,,,,,,Worldwide,,
339011,02/06/2020,28256,3707,565,73,,,,,,,Worldwide,,
339012,02/07/2020,31420,3164,638,73,,,,,,,Worldwide,,
339013,02/08/2020,34822,3402,724,86,,,,,,,Worldwide,,
339014,02/09/2020,37494,2672,813,89,,,,,,,Worldwide,,
339015,02/10/2020,40484,2990,910,97,,,,,,,Worldwide,,
339016,02/11/2020,42968,2484,1018,108,,,,,,,Worldwide,,
339017,02/12/2020,44996,2028,1115,97,,,,,,,Worldwide,,
339018,02/13/2020,46823,1827,1369,254,,,,,,,Worldwide,,
339019,02/14/2020,64219,17396,1383,14,,,,,,,Worldwide,,
339020,02/15/2020,66884,2665,1526,143,,,,,,,Worldwide,,
339021,02/16/2020,68912,2028,1669,143,,,,,,,Worldwide,,
339022,02/17/2020,70975,2063,1775,106,,,,,,,Worldwide,,
339023,02/18/2020,72778,1803,1873,98,,,,,,,Worldwide,,
339024,02/19/2020,75204,2426,2009,136,,,,,,,Worldwide,,
339025,02/20/2020,75748,544,2129,120,,,,,,,Worldwide,,
339026,02/21/2020,76769,1021,2247,118,,,,,,,Worldwide,,
339027,02/22/2020,77794,1025,2359,112,,,,,,,Worldwide,,
339028,02/23/2020,78811,1017,2462,103,,,,,,,Worldwide,,
339029,02/24/2020,79331,520,2618,156,,,,,,,Worldwide,,
339030,02/25/2020,80239,908,2700,82,,,,,,,Worldwide,,
339031,02/26/2020,81109,870,2762,62,,,,,,,Worldwide,,
339032,02/27/2020,82294,1185,2804,42,,,,,,,Worldwide,,
339033,02/28/2020,83652,1358,2858,54,,,,,,,Worldwide,,
339034,02/29/2020,85403,1751,2924,66,,,,,,,Worldwide,,
339035,03/01/2020,87137,1734,2977,53,,,,,,,Worldwide,,
339036,03/02/2020,88948,1811,3043,66,,,,,,,Worldwide,,
339037,03/03/2020,90869,1921,3112,69,,,,,,,Worldwide,,
339038,03/04/2020,93091,2222,3198,86,,,,,,,Worldwide,,
339039,03/05/2020,95324,2233,3281,83,,,,,,,Worldwide,,
339040,03/06/2020,98192,2868,3380,99,,,,,,,Worldwide,,
339041,03/07/2020,101927,3735,3486,106,,,,,,,Worldwide,,
339042,03/08/2020,105586,3659,3584,98,,,,,,,Worldwide,,
339043,03/09/2020,109577,3991,3809,225,,,,,,,Worldwide,,
339044,03/10/2020,113702,4125,4012,203,,,,,,,Worldwide,,
339045,03/11/2020,118319,4617,4292,280,,,,,,,Worldwide,,
339046,03/12/2020,125260,6941,4613,321,,,,,,,Worldwide,,
339047,03/13/2020,132755,7495,4955,342,,,,,,,Worldwide,,
339048,03/14/2020,142534,9779,5392,437,,,,,,,Worldwide,,
